date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
1952-08,3803959,3679297,3554636,3429975,3305313,3180652,3055990,2931329,2820155,2708981,2597808,2486634,2375460,2334501,2293541,2252582,2211622,2170663,2194339,2218016,2241692,2265369,2289045,2326343,2363641,2400940,2438238,2475536,2469031,2462525,2456020,2449514,2443009,2413529,2384049,2354570,2325090,2295610,2266586,2237562,2208539,2179515,2150491,2097240,2043989,1990739,1937488,1884237,1848360,1812483,1776606,1740729,1704852,1662633,1620415,1578196,1535978,1493759,1448396,1403032,1357669,1312305,1266942,1218054,1169165,1120277,1071388,1022500,961176,899852,838527,777203,715879,663754,611630,559505,507381,455256,412623,369990,327356,284723,242090,213319,184549,155778,127008,98237,84302,70367,56432,42497,28562,24008,19453,14899,10344,5790,5120,4449,3779
1952-09,3802379,3679817,3557254,3434691,3312129,3189566,3067004,2944441,2831974,2719506,2607039,2494571,2382104,2339953,2297801,2255650,2213498,2171347,2194235,2217123,2240012,2262900,2285788,2323400,2361012,2398625,2436237,2473849,2468245,2462640,2457036,2451431,2445827,2415966,2386105,2356245,2326384,2296523,2267884,2239246,2210607,2181969,2153330,2100090,2046850,1993609,1940369,1887129,1851055,1814980,1778906,1742831,1706757,1664509,1622262,1580014,1537767,1495519,1450168,1404816,1359465,1314113,1268762,1219840,1170918,1121995,1073073,1024151,962859,901567,840275,778983,717691,665382,613073,560763,508454,456145,413478,370811,328145,285478,242811,213960,185110,156259,127409,98558,84575,70593,56610,42628,28645,24076,19508,14939,10371,5802,5128,4454,3781
1952-10,3800801,3680337,3559873,3439409,3318945,3198482,3078018,2957554,2843793,2730031,2616270,2502508,2388747,2345404,2302061,2258717,2215374,2172031,2194131,2216231,2238330,2260430,2282530,2320456,2358382,2396309,2434235,2472161,2467458,2462754,2458051,2453347,2448644,2418402,2388161,2357919,2327678,2297436,2269183,2240929,2212676,2184422,2156169,2102939,2049710,1996480,1943251,1890021,1853749,1817477,1781206,1744934,1708662,1666385,1624109,1581832,1539556,1497279,1451940,1406601,1361261,1315922,1270583,1221627,1172670,1123714,1074757,1025801,964542,903282,842023,780763,719504,667010,614516,562021,509527,457033,414333,371632,328932,286231,243531,214601,185670,156740,127809,98879,84849,70819,56788,42758,28728,24145,19563,14980,10398,5815,5138,4460,3782
1952-11,3799221,3680856,3562491,3444126,3325761,3207396,3089031,2970666,2855611,2740556,2625500,2510445,2395390,2350855,2306320,2261784,2217249,2172714,2194026,2215337,2236649,2257960,2279272,2317512,2355753,2393993,2432234,2470474,2466671,2462869,2459066,2455264,2451461,2420839,2390217,2359594,2328972,2298350,2270481,2242613,2214744,2186876,2159007,2105788,2052570,1999351,1946133,1892914,1856445,1819975,1783506,1747036,1710567,1668261,1625956,1583650,1541345,1499039,1453712,1408385,1363057,1317730,1272403,1223413,1174423,1125432,1076442,1027452,966225,904998,843771,782544,721317,668638,615959,563279,510600,457921,415187,372453,329720,286986,244252,215242,186231,157221,128210,99200,85122,71044,56967,42889,28811,24214,19618,15021,10425,5828,5147,4466,3784
1952-12,3797641,3681375,3565109,3448843,3332577,3216310,3100044,2983778,2867429,2751080,2634732,2518383,2402034,2356307,2310580,2264852,2219125,2173398,2193921,2214444,2234968,2255491,2276014,2314569,2353123,2391678,2430232,2468787,2465885,2462983,2460082,2457180,2454278,2423275,2392272,2361269,2330266,2299263,2271780,2244296,2216813,2189329,2161846,2108638,2055430,2002222,1949014,1895806,1859139,1822472,1785805,1749138,1712471,1670137,1627802,1585468,1543133,1500799,1455484,1410169,1364854,1319539,1274224,1225200,1176175,1127151,1078126,1029102,967908,906713,845519,784324,723130,670266,617402,564537,511673,458809,416042,373275,330507,287740,244973,215883,186792,157702,128611,99521,85396,71270,57145,43019,28894,24283,19673,15062,10452,5841,5156,4471,3786
1953-01,3797986,3683308,3568630,3453952,3339274,3224596,3109918,2995240,2878243,2761246,2644249,2527252,2410255,2363201,2316147,2269093,2222039,2174985,2194557,2214129,2233701,2253273,2272845,2311581,2350316,2389052,2427787,2466523,2464518,2462512,2460507,2458501,2456496,2425338,2394180,2363023,2331865,2300707,2273357,2246008,2218658,2191309,2163959,2111055,2058150,2005246,1952341,1899437,1862362,1825288,1788213,1751139,1714064,1671755,1629446,1587136,1544827,1502518,1457254,1411990,1366727,1321463,1276199,1227100,1178001,1128903,1079804,1030705,969588,908471,847354,786237,725120,672013,618906,565798,512691,459584,416800,374017,331233,288450,245666,216505,187344,158183,129022,99861,85688,71515,57341,43168,28995,24367,19739,15110,10482,5854,5168,4483,3797
1953-02,3798329,3685240,3572150,3459060,3345971,3232881,3119792,3006702,2889057,2771412,2653766,2536121,2418476,2370095,2321714,2273334,2224953,2176572,2195193,2213813,2232434,2251054,2269675,2308592,2347509,2386426,2425343,2464260,2463151,2462042,2460932,2459823,2458714,2427401,2396089,2364776,2333464,2302151,2274935,2247720,2220504,2193289,2166073,2113472,2060871,2008271,1955670,1903069,1865587,1828104,1790622,1753139,1715657,1673373,1631089,1588805,1546521,1504237,1459024,1413812,1368599,1323387,1278174,1229001,1179828,1130655,1081482,1032309,971269,910229,849189,788149,727109,673759,620409,567058,513708,460358,417558,374759,331959,289160,246360,217128,187896,158665,129433,100201,85980,71759,57538,43317,29096,24450,19804,15159,10513,5867,5181,4494,3808
1953-03,3798672,3687171,3575670,3464169,3352668,3241166,3129665,3018164,2899871,2781577,2663284,2544990,2426697,2376990,2327282,2277575,2227867,2178160,2195829,2213498,2231168,2248837,2266506,2305604,2344702,2383800,2422898,2461996,2461783,2461570,2461357,2461144,2460931,2429464,2397997,2366529,2335062,2303595,2276513,2249431,2222350,2195268,2168186,2115889,2063592,2011294,1958997,1906700,1868810,1830920,1793030,1755140,1717250,1674991,1632732,1590474,1548215,1505956,1460795,1415633,1370472,1325310,1280149,1230902,1181654,1132407,1083159,1033912,972949,911987,851024,790062,729099,675506,621912,568319,514725,461132,418316,375501,332685,289870,247054,217751,188448,159146,129843,100540,86271,72003,57734,43466,29197,24534,19870,15207,10543,5880,5193,4506,3819
1953-04,3799017,3689104,3579191,3469278,3359365,3249452,3139539,3029626,2910684,2791743,2672801,2553860,2434918,2383884,2332850,2281815,2230781,2179747,2196465,2213183,2229901,2246619,2263337,2302616,2341895,2381175,2420454,2459733,2460416,2461099,2461783,2462466,2463149,2431527,2399905,2368283,2336661,2305039,2278091,2251143,2224196,2197248,2170300,2118306,2066312,2014319,1962325,1910331,1872033,1833736,1795438,1757141,1718843,1676609,1634375,1592142,1549908,1507674,1462564,1417454,1372344,1327234,1282124,1232802,1183480,1134159,1084837,1035515,974630,913745,852859,791974,731089,677252,623416,569579,515743,461906,419074,376242,333411,290579,247747,218374,189000,159627,130253,100880,86564,72247,57931,43614,29298,24617,19936,15255,10574,5893,5205,4517,3830
1953-05,3799360,3691036,3582711,3474386,3366062,3257737,3149413,3041088,2921498,2801908,2682319,2562729,2443139,2390778,2338417,2286056,2233695,2181334,2197101,2212868,2228634,2244401,2260168,2299628,2339089,2378549,2418010,2457470,2459049,2460629,2462208,2463788,2465367,2433590,2401813,2370037,2338260,2306483,2279669,2252855,2226041,2199227,2172413,2120723,2069033,2017343,1965653,1913963,1875258,1836552,1797847,1759141,1720436,1678227,1636019,1593810,1551602,1509393,1464334,1419275,1374217,1329158,1284099,1234703,1185307,1135910,1086514,1037118,976310,915502,854695,793887,733079,678999,624919,570840,516760,462680,419832,376984,334137,291289,248441,218997,189553,160108,130664,101220,86856,72492,58127,43763,29399,24700,20002,15303,10605,5906,5218,4529,3841
