date,balance
1999-06,708985000000.0
1999-07,717897500000.0
1999-08,726810000000.0
1999-09,735722500000.0
1999-10,744635000000.0
1999-11,753547500000.0
1999-12,762460000000.0
2000-01,773599416666.6666
2000-02,784738833333.3334
2000-03,795878250000.0
2000-04,807017666666.6666
2000-05,818157083333.3334
2000-06,829296500000.0
2000-07,840435916666.6666
2000-08,851575333333.3334
2000-09,862714750000.0
2000-10,873854166666.6666
2000-11,884993583333.3334
2000-12,896133000000.0
2001-01,908909000000.0
2001-02,921685000000.0
2001-03,934461000000.0
2001-04,947237000000.0
2001-05,960013000000.0
2001-06,972789000000.0
2001-07,985565000000.0
2001-08,998341000000.0
2001-09,1011117000000.0
2001-10,1023893000000.0
2001-11,1036669000000.0
2001-12,1049445000000.0
2002-01,1063035666666.6666
2002-02,1076626333333.3334
2002-03,1090217000000.0
2002-04,1103807666666.6667
2002-05,1117398333333.3333
2002-06,1130989000000.0
2002-07,1144579666666.6667
2002-08,1158170333333.3333
2002-09,1171761000000.0
2002-10,1185351666666.6667
2002-11,1198942333333.3333
2002-12,1212533000000.0
2003-01,1226319000000.0
2003-02,1240105000000.0
2003-03,1253891000000.0
2003-04,1267677000000.0
2003-05,1281463000000.0
2003-06,1295249000000.0
2003-07,1309035000000.0
2003-08,1322821000000.0
2003-09,1336607000000.0
2003-10,1350393000000.0
2003-11,1364179000000.0
2003-12,1377965000000.0
2004-01,1390698250000.0
2004-02,1403431500000.0
2004-03,1416164750000.0
2004-04,1428898000000.0
2004-05,1441631250000.0
2004-06,1454364500000.0
2004-07,1467097750000.0
2004-08,1479831000000.0
2004-09,1492564250000.0
2004-10,1505297500000.0
2004-11,1518030750000.0
2004-12,1530764000000.0
2005-01,1543770250000.0
2005-02,1556776500000.0
2005-03,1569782750000.0
2005-04,1582789000000.0
2005-05,1595795250000.0
2005-06,1608801500000.0
2005-07,1621807750000.0
2005-08,1634814000000.0
2005-09,1647820250000.0
2005-10,1660826500000.0
2005-11,1673832750000.0
2005-12,1686839000000.0
2006-01,1701157416666.6667
2006-02,1715475833333.3333
2006-03,1729794250000.0
2006-04,1744112666666.6667
2006-05,1758431083333.3333
2006-06,1772749500000.0
2006-07,1787067916666.6667
2006-08,1801386333333.3333
2006-09,1815704750000.0
2006-10,1830023166666.6667
2006-11,1844341583333.3333
2006-12,1858660000000.0
2007-01,1874447666666.6667
2007-02,1890235333333.3333
